URL,Extension,Dataset,Date Tested
https://www.justice.gov/epstein/files/DataSet 9/EFTA01136290.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00899096.jpg,jpg,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01135987.jpg,jpg,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01135969.jpg,jpg,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00823334.jpg,jpg,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00899097.jpg,jpg,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01195324.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01184750.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01195323.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01185189.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00157542.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00277098.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00277094.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648620.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00155485.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00155489.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00155484.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00155488.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648634.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00277091.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01622053.mov,mov,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01621083.mov,mov,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01132042.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01250815.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01184143.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00072395.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00143735.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00143411.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00135578.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00152684.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00152687.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00152691.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01173972.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01145820.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01196689.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01202537.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00029997.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033013.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033027.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033035.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033029.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033047.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033112.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033111.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033045.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033176.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033179.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033079.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033174.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033089.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033271.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01612354.m4a,m4a,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00072400.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00072397.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033227.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033377.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033357.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033369.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033191.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033364.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033230.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033215.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033243.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033164.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00277091.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01622053.mov,mov,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01621083.mov,mov,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01132042.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01154497.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01156809.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01156751.avi,avi,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00155485.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00155489.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00155490.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00155486.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648634.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01250814.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA01250922.m4a,m4a,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033225.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033150.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033294.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033233.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033348.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033361.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033185.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033387.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033056.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033072.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033102.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033392.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033349.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033367.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033396.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033105.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033374.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033053.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033334.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033163.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033144.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033099.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033125.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033331.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033054.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033083.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033098.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033257.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033332.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033006.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033101.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033040.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033381.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033222.mp4,mp4,DataSet 8,2026-03-17 06:40:45
